weight	a	b	c
158	12.58	8.15	20.13
147	6.25	-5.08	4.31
129	5.71	6.68	6.28
126	25.38	23.75	18.83
97	14.29	12.8	11.13
95	0.39	-5.85	-1.57
95	10.34	7.32	0.1
90	10.3	8.9	13.96
73	23.77	25.43	24.73
73	8.26	6.52	8.91
68	11.84	8.97	14.2
54	5.99	5.42	11.37
52	30.81	30.22	30.41
49	21.36	24.25	24.86
47	17.21	14.87	13.9
38	26.77	23.35	30.25
31	23	25.08	16.4
31	5.79	13.94	9.67
29	3.96	-10.45	0.09
27	27.18	31.83	15.14
26	19.1	16.53	15.94
23	18.66	22.12	24.1
20	4.03	7.69	8.05
16	21.87	22.08	17.92
15	27.49	36.58	25.15
14	21.55	18.41	20.25
12	23.27	23.55	20.4
12	0.47	-2.25	0.42
11	23.39	21.7	19.01
10	9.92	4.51	11.14
