category,value,date
cow,0,1640
cow,5.25,1641
cow,0,1642
cow,0,1643
cow,2,1644
cow,14.5,1645
cow,6,1646
cow,0,1647
cow,0,1648
cow,0,1649
cow,0,1650
cow,0,1651
cow,0,1652
cow,0,1653
cow,0,1654
cow,0,1655
cow,0,1656
cow,0,1657
cow,0,1658
cow,3,1659
cow,0.1,1660
veal,0,1640
veal,977.85,1641
veal,0,1642
veal,0,1643
veal,523.13,1644
veal,685.85,1645
veal,779.75,1646
veal,0,1647
veal,0,1648
veal,0,1649
veal,0,1650
veal,0,1651
veal,0,1652
veal,0,1653
veal,0,1654
veal,0,1655
veal,0,1656
veal,0,1657
veal,0,1658
veal,3,1659
veal,0,1660
calf trunk,0,1640
calf trunk,0,1641
calf trunk,0,1642
calf trunk,0,1643
calf trunk,0,1644
calf trunk,0,1645
calf trunk,0,1646
calf trunk,0,1647
calf trunk,0,1648
calf trunk,0,1649
calf trunk,0,1650
calf trunk,0,1651
calf trunk,0,1652
calf trunk,0,1653
calf trunk,0,1654
calf trunk,0,1655
calf trunk,0,1656
calf trunk,0,1657
calf trunk,0,1658
calf trunk,0,1659
calf trunk,0,1660
cow trunk,0,1640
cow trunk,164,1641
cow trunk,0,1642
cow trunk,0,1643
cow trunk,125,1644
cow trunk,289,1645
cow trunk,542.125,1646
cow trunk,0,1647
cow trunk,7,1648
cow trunk,0,1649
cow trunk,0,1650
cow trunk,0,1651
cow trunk,0,1652
cow trunk,0,1653
cow trunk,0,1654
cow trunk,0,1655
cow trunk,0,1656
cow trunk,0,1657
cow trunk,0,1658
cow trunk,19,1659
cow trunk,0,1660
corned beef,0,1640
corned beef,245,1641
corned beef,0,1642
corned beef,0,1643
corned beef,540,1644
corned beef,120,1645
corned beef,192,1646
corned beef,0,1647
corned beef,0,1648
corned beef,0,1649
corned beef,0,1650
corned beef,0,1651
corned beef,0,1652
corned beef,0,1653
corned beef,0,1654
corned beef,0,1655
corned beef,0,1656
corned beef,0,1657
corned beef,0,1658
corned beef,0,1659
corned beef,0,1660
